# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.128187465667724609e+01 1.818995475769042969e+01 2.814552374184131622e-02 1.892804913222789764e-02 5.506116390228271484e+00 6.909097671508789062e+00 2.814552374184131622e-02 1.892804913222789764e-02
1.000000000000000000e+00 2.558687133789062500e+02 2.965113830566406250e+02 5.244200825691223145e-01 6.011381745338439941e-01 1.083586959838867188e+02 1.269020233154296875e+02 5.244200825691223145e-01 6.011381745338439941e-01
2.000000000000000000e+00 1.419308090209960938e+01 2.331680297851562500e+01 3.474186360836029053e-02 2.714543789625167847e-02 6.034620285034179688e+00 8.151082992553710938e+00 3.474186360836029053e-02 2.714543789625167847e-02
3.000000000000000000e+00 3.076761722564697266e+00 6.193292617797851562e+00 1.190244499593973160e-02 1.658035628497600555e-02 1.033108711242675781e+00 1.129097104072570801e+00 1.190244499593973160e-02 1.658035628497600555e-02
4.000000000000000000e+00 6.653345108032226562e+00 1.262972736358642578e+01 2.594149112701416016e-02 3.267125785350799561e-02 2.104795694351196289e+00 4.059730529785156250e+00 2.594149112701416016e-02 3.267125785350799561e-02
5.000000000000000000e+00 2.907066583633422852e+00 7.038929939270019531e+00 1.333313900977373123e-02 2.032071538269519806e-02 6.593775749206542969e-01 1.553089857101440430e+00 1.333313900977373123e-02 2.032071538269519806e-02
6.000000000000000000e+00 1.062723398208618164e+00 4.555448532104492188e+00 8.576801978051662445e-03 9.817954152822494507e-03 4.723807871341705322e-01 3.236287832260131836e-01 8.576801978051662445e-03 9.817954152822494507e-03
7.000000000000000000e+00 4.299511909484863281e+00 8.700174331665039062e+00 1.862077042460441589e-02 1.520717702805995941e-02 2.394389390945434570e+00 2.112392425537109375e+00 1.862077042460441589e-02 1.520717702805995941e-02
8.000000000000000000e+00 5.853785037994384766e+00 9.564247131347656250e+00 2.244931273162364960e-02 2.232634089887142181e-02 3.067185878753662109e+00 2.575319528579711914e+00 2.244931273162364960e-02 2.232634089887142181e-02
9.000000000000000000e+00 2.819449186325073242e+00 6.090767383575439453e+00 1.753953099250793457e-02 1.931320875883102417e-02 1.429822564125061035e+00 1.095658898353576660e+00 1.753953099250793457e-02 1.931320875883102417e-02
1.000000000000000000e+01 6.839968562126159668e-01 4.177722930908203125e+00 1.469460036605596542e-02 1.382862310856580734e-02 2.944294512271881104e-01 2.572990953922271729e-01 1.469460036605596542e-02 1.382862310856580734e-02
1.100000000000000000e+01 3.014196395874023438e+00 5.885822296142578125e+00 1.693905144929885864e-02 1.400426961481571198e-02 1.362863063812255859e+00 1.023401260375976562e+00 1.693905144929885864e-02 1.400426961481571198e-02
1.200000000000000000e+01 5.376564979553222656e+00 8.061408996582031250e+00 1.874293386936187744e-02 1.486953813582658768e-02 2.500102758407592773e+00 2.000634908676147461e+00 1.874293386936187744e-02 1.486953813582658768e-02
1.300000000000000000e+01 3.836313247680664062e+00 7.679491043090820312e+00 1.594014465808868408e-02 1.075961068272590637e-02 1.803252458572387695e+00 1.833420991897583008e+00 1.594014465808868408e-02 1.075961068272590637e-02
1.400000000000000000e+01 1.159034371376037598e+00 5.651111602783203125e+00 1.091512665152549744e-02 5.984202027320861816e-03 5.475391149520874023e-01 9.396341443061828613e-01 1.091512665152549744e-02 5.984202027320861816e-03
1.500000000000000000e+01 1.828333735466003418e-01 4.031597614288330078e+00 7.460467051714658737e-03 4.643430933356285095e-03 8.087843656539916992e-02 2.323007881641387939e-01 7.460467051714658737e-03 4.643430933356285095e-03
1.600000000000000000e+01 6.504897475242614746e-01 3.716719627380371094e+00 7.119572255760431290e-03 5.885116290301084518e-03 3.069051802158355713e-01 8.548582345247268677e-02 7.119572255760431290e-03 5.885116290301084518e-03
1.700000000000000000e+01 1.232083678245544434e+00 4.388536930084228516e+00 9.216833859682083130e-03 7.519711274653673172e-03 6.020050048828125000e-01 3.441866040229797363e-01 9.216833859682083130e-03 7.519711274653673172e-03
1.800000000000000000e+01 1.293740153312683105e+00 5.111409664154052734e+00 1.183843519538640976e-02 8.689371868968009949e-03 6.462504863739013672e-01 6.162406206130981445e-01 1.183843519538640976e-02 8.689371868968009949e-03
1.900000000000000000e+01 9.857788681983947754e-01 5.134445190429687500e+00 1.322026178240776062e-02 9.510216303169727325e-03 4.907174110412597656e-01 6.119536161422729492e-01 1.322026178240776062e-02 9.510216303169727325e-03
2.000000000000000000e+01 6.387451887130737305e-01 4.496587276458740234e+00 1.299402490258216858e-02 9.987794794142246246e-03 2.924612760543823242e-01 3.663737773895263672e-01 1.299402490258216858e-02 9.987794794142246246e-03
2.100000000000000000e+01 4.174829125404357910e-01 3.826325893402099609e+00 1.210648380219936371e-02 9.945756755769252777e-03 1.470296084880828857e-01 1.331837326288223267e-01 1.210648380219936371e-02 9.945756755769252777e-03
2.200000000000000000e+01 3.412030637264251709e-01 3.647827863693237305e+00 1.165926177054643631e-02 9.447249583899974823e-03 8.349137753248214722e-02 1.056013032793998718e-01 1.165926177054643631e-02 9.447249583899974823e-03
2.300000000000000000e+01 3.706973195075988770e-01 3.960128784179687500e+00 1.198747660964727402e-02 8.805527351796627045e-03 9.559026360511779785e-02 2.636540234088897705e-01 1.198747660964727402e-02 8.805527351796627045e-03
2.400000000000000000e+01 4.409711956977844238e-01 4.342355251312255859e+00 1.266189198940992355e-02 8.311686106026172638e-03 1.527725607156753540e-01 4.293995797634124756e-01 1.266189198940992355e-02 8.311686106026172638e-03
2.500000000000000000e+01 4.802128970623016357e-01 4.388658046722412109e+00 1.324801519513130188e-02 8.140684105455875397e-03 2.096467912197113037e-01 4.444119334220886230e-01 1.324801519513130188e-02 8.140684105455875397e-03
2.600000000000000000e+01 4.444841444492340088e-01 4.059547424316406250e+00 1.400012709200382233e-02 8.492379449307918549e-03 2.286520749330520630e-01 3.050587177276611328e-01 1.400012709200382233e-02 8.492379449307918549e-03
2.700000000000000000e+01 3.415360450744628906e-01 3.633354663848876953e+00 1.573243550956249237e-02 9.677142836153507233e-03 2.000792622566223145e-01 1.337681561708450317e-01 1.573243550956249237e-02 9.677142836153507233e-03
2.800000000000000000e+01 2.195067405700683594e-01 3.395323514938354492e+00 1.907961815595626831e-02 1.196240819990634918e-02 1.419289410114288330e-01 4.833978414535522461e-02 1.907961815595626831e-02 1.196240819990634918e-02
2.900000000000000000e+01 1.344435960054397583e-01 3.413463830947875977e+00 2.390073612332344055e-02 1.530362106859683990e-02 8.410537242889404297e-02 7.235828787088394165e-02 2.390073612332344055e-02 1.530362106859683990e-02
3.000000000000000000e+01 1.211461499333381653e-01 3.549655199050903320e+00 2.928055077791213989e-02 1.922863908112049103e-02 5.113111436367034912e-02 1.439286321401596069e-01 2.928055077791213989e-02 1.922863908112049103e-02
